fips,area_name,Population 2014,18 and younger (%),Female,White,Minority,Black,American Indian/Alaskan Native,Asian,Native Hawaiian/Pacific Islander,Two or More Races,Hispanic or Latino,"White, not Hispanic or Latino",Foreign born persons,Language other than English spoken at home,High school,College,Veterans,Commute,Median household income,Poverty,Total number of firms,Black-owned firms,American Indian- and Alaska Native-owned firms,Asian-owned firms,Native Hawaiian- and Other Pacific Islander-owned firms,Hispanic-owned firms,Hispanic-owned firms,Population per square mile,Democrat_votes,Dvotes_of_total_votes,Dvotes_of_population,Republican_votes,Rvotes_of_total_votes,Rvotes_of_population,Total Votes,Winning_party
24000,Maryland,5976407,22.6,51.5,60.1,40,30.3,0.6,6.4,0.1,2.6,9.3,52.6,14,16.7,88.7,36.8,427068,32,73538,9.8,528112,19.3,0.6,6.8,0.1,4.9,32.6,594.8,814522,0.660456088,0.13628958,418750,0.339543912,0.070067183,1233272,Democrat
25000,Massachusetts,6745408,20.6,51.5,82.6,17.4,8.3,0.5,6.3,0.1,2.2,10.8,74.3,15,21.9,89.4,39.4,383087,28,66866,11.4,596790,3.4,0.4,4.5,0,3.3,29.8,839.4,1198652,0.661026184,0.177698962,614668,0.338973816,0.091123917,1813320,Democrat
26000,Michigan,9909877,22.4,50.9,79.9,20.1,14.2,0.7,2.9,0,2.3,4.8,75.8,6.1,9.1,88.9,25.9,672213,24,48411,16.8,816972,8.9,0.7,2.6,0.1,1.3,30.4,174.8,1172017,0.48209111,0.118267563,1259094,0.51790889,0.127054453,2431111,Republican
27000,Minnesota,5457173,23.5,50.3,85.7,14.3,5.9,1.3,4.7,0.1,2.3,5.1,81.4,7.3,10.7,92.1,32.6,366990,22.9,59836,11.5,496657,2.5,0.6,2.3,0,1,26.8,66.6,,,0,,,0,0,N/A
28000,Mississippi,2994079,24.4,51.4,59.7,40.4,37.5,0.6,1,0.1,1.2,3,57.3,2.2,3.9,81.5,20.1,200748,23.9,39031,22.7,225977,18,0.3,1.8,0,0.8,26.9,63.2,218795,0.356227613,0.073075894,395405,0.643772387,0.132062314,614200,Republican
29000,Missouri,6063589,23,50.9,83.5,16.4,11.8,0.5,1.9,0.1,2.1,4,80.1,3.9,6.1,87.6,26.2,479828,23.1,47380,15.5,501064,4.9,0.6,1.9,0.1,1.2,26.1,87.1,619673,0.404572911,0.102195746,911999,0.595427089,0.150405808,1531672,Republican
30000,Montana,1023579,22,49.8,89.4,10.7,0.6,6.6,0.8,0.1,2.6,3.5,86.7,2,4.4,92.1,28.7,94404,18,46230,15.2,114398,0.2,2,0.6,0,1,24.6,6.8,118362,0.459629693,0.115635432,139154,0.540370307,0.135948471,257516,Republican
31000,Nebraska,1881503,24.8,50.2,89.4,10.6,4.9,1.4,2.2,0.1,2,10.2,80.5,6.3,10.5,90.5,28.5,142176,18.1,51672,12.8,159665,1.8,0.4,1.4,0,1.9,25.7,23.8,33460,0.156581232,0.017783655,180231,0.843418768,0.095790971,213691,Republican
32000,Nevada,2839099,23.4,49.7,76.2,23.7,9.1,1.6,8.3,0.7,4,27.8,51.5,19.1,29.3,84.6,22.4,226555,23.8,52800,15,221260,3.9,0.8,7.9,0.3,8.1,28.6,24.6,11937,0.13749928,0.004204503,74878,0.86250072,0.02637386,86815,Republican
33000,New Hampshire,1326813,20.1,50.6,94,5.9,1.5,0.3,2.5,0,1.6,3.3,91.3,5.4,8,91.8,33.7,112790,26.3,64916,8.7,137815,0.5,0.4,1.6,0,1,25.8,147,246836,0.469300297,0.186036766,279130,0.530699703,0.210376293,525966,Republican
